Designator,Mid X,Mid Y,Rotation,Layer
D1,77.116648,-113.135845,350.0,top
D10,280.258871,-112.108245,10.0,top
D11,299.846458,-113.490394,10.0,top
D12,321.779119,-114.459044,10.0,top
D13,73.80865,-131.896433,350.0,top
D14,95.741311,-130.927783,350.0,top
D15,115.328898,-129.545634,350.0,top
D16,134.916485,-128.163485,350.0,top
D17,152.850073,-136.16163,350.0,top
D18,170.783661,-144.159774,350.0,top
D19,228.112105,-145.482973,10.0,top
D2,99.049308,-112.167195,350.0,top
D20,246.045694,-137.484829,10.0,top
D21,263.979282,-129.486684,10.0,top
D22,283.566869,-130.868833,10.0,top
D23,303.154456,-132.250982,10.0,top
D24,325.087117,-133.219632,10.0,top
D25,70.500652,-150.65702,350.0,top
D26,92.433313,-149.688371,350.0,top
D27,112.0209,-148.306222,350.0,top
D28,131.608487,-146.924073,350.0,top
D29,149.542075,-154.922217,350.0,top
D3,118.636896,-110.785046,350.0,top
D30,167.475664,-162.920362,350.0,top
D31,231.420103,-164.243561,10.0,top
D32,249.353691,-156.245416,10.0,top
D33,267.28728,-148.247272,10.0,top
D34,286.874867,-149.629421,10.0,top
D35,307.289453,-155.701717,10.0,top
D36,328.395115,-151.980219,10.0,top
D37,67.192654,-169.417608,350.0,top
D38,88.298316,-173.139105,350.0,top
D39,109.403977,-176.860603,350.0,top
D4,138.224483,-109.402897,350.0,top
D40,134.806083,-169.928823,350.0,top
D41,160.168593,-190.647744,350.0,top
D42,199.39,-173.99,0.0,top
D43,238.727173,-191.970943,10.0,top
D44,264.089684,-171.252022,10.0,top
D45,291.836863,-177.770302,10.0,top
D46,310.597451,-174.462304,10.0,top
D47,329.358039,-171.154307,10.0,top
D5,156.158071,-117.401042,350.0,top
D6,174.091659,-125.399187,350.0,top
D7,224.804108,-126.722386,10.0,top
D8,242.737696,-118.724241,10.0,top
D9,260.671284,-110.726096,10.0,top
J1,209.085,-124.625,270.0,top
MX1,82.25795,-105.918982,350.0,top
MX10,282.621803,-103.568184,10.0,top
MX11,302.20939,-104.950332,10.0,top
MX12,324.142051,-105.918982,10.0,top
MX13,78.949952,-124.67957,350.0,top
MX14,100.882613,-123.710921,350.0,top
MX15,120.4702,-122.328771,350.0,top
MX16,140.057787,-120.946622,350.0,top
MX17,157.991376,-128.944767,350.0,top
MX18,175.924964,-136.942912,350.0,top
MX19,230.475037,-136.942912,10.0,top
MX2,104.190611,-104.950333,350.0,top
MX20,248.408625,-128.944767,10.0,top
MX21,266.342213,-120.946622,10.0,top
MX22,285.9298,-122.328771,10.0,top
MX23,305.517388,-123.71092,10.0,top
MX24,327.450049,-124.67957,10.0,top
MX25,75.641954,-143.440158,350.0,top
MX26,97.574615,-142.471508,350.0,top
MX27,117.162202,-141.089359,350.0,top
MX28,136.74979,-139.70721,350.0,top
MX29,154.683377,-147.705355,350.0,top
MX3,123.778198,-103.568184,350.0,top
MX30,172.616966,-155.703499,350.0,top
MX31,233.783035,-155.703499,10.0,top
MX32,251.716623,-147.705354,10.0,top
MX33,269.650211,-139.70721,10.0,top
MX34,289.237799,-141.089359,10.0,top
MX35,309.652385,-147.161655,10.0,top
MX36,330.758046,-143.440158,10.0,top
MX37,72.333957,-162.200745,350.0,top
MX38,93.439618,-165.922243,350.0,top
MX39,114.545279,-169.64374,350.0,top
MX4,143.365785,-102.186034,350.0,top
MX40,137.169014,-178.468884,350.0,top
MX41,165.309896,-183.430881,350.0,top
MX42,203.2,-182.4,0.0,top
MX43,241.090105,-183.430881,10.0,top
MX44,269.230986,-178.468884,10.0,top
MX45,294.199795,-169.23024,10.0,top
MX46,312.960383,-165.922243,10.0,top
MX47,331.720971,-162.614245,10.0,top
MX5,161.299373,-110.184179,350.0,top
MX6,179.232961,-118.182324,350.0,top
MX7,227.167039,-118.182324,10.0,top
MX8,245.100628,-110.184179,10.0,top
MX9,263.034216,-102.186034,10.0,top
